,Cycle,C3,C4,C5,C7,C8,C9,D3,D4,D5,D7,D8,D9,E3,E4,E5,E7,E8,E9,F3,F4,F5,F7,F8,F9
,24,2849.64734887026,2821.84799048032,2731.32600053919,2914.47174058456,2836.35030198528,2805.41044540956,2829.91784828443,2886.2773719755,2863.30128268743,2872.51821843876,2890.67908074819,2891.16803507607,2889.95753747521,2858.30734686549,2915.52159134378,2945.20526932817,2937.65665061377,2803.08005418126,2968.66593517914,2932.56485482939,2963.25628745109,3066.71440218258,3015.35365075697,2939.23688047203
,25,2867.86645217378,2813.60366816001,2734.35901584813,2914.28316893941,2838.30712797814,2805.33187673691,2827.43207483288,2892.06383598901,2869.69917242196,2871.89012776755,2898.17763863428,2898.25059262734,2893.54416123217,2851.60135079667,2916.6347307219,2939.64467264574,2936.64933943319,2818.64547844342,2968.37708858406,2934.77847229177,2967.18449989043,3069.04006183439,3015.28946221653,2934.66084586565
,26,2886.10080096033,2816.26579720619,2738.3866584731,2914.13824335349,2840.27059945375,2805.23758786199,2834.07794199325,2889.52359580979,2867.71322306026,2871.11586018186,2898.67508088194,2893.1163660582,2895.42858567716,2856.413097195,2917.01161113503,2935.95474504859,2939.74994919047,2826.71556868644,2967.51896844231,2937.08913085859,2964.64732689518,3066.17891683205,3015.9243264085,2937.1001455193
,27,2915.15819801151,2815.72119457981,2744.75763547157,2912.25870991067,2838.2845842732,2801.61209944566,2834.53992331782,2883.43904772788,2872.05944567627,2877.4779576558,2890.87712286284,2893.51937192314,2893.70796768191,2851.87179628581,2916.66924297313,2943.13168304843,2932.13988200607,2840.46598983774,2967.92132105471,2937.14703858523,2967.16574584887,3066.92025735193,3011.90159618935,2936.05528554085
,28,2947.69347057672,2817.54960595773,2750.5097805141,2914.30691750745,2836.92261866924,2809.44823772138,2826.79791690917,2889.80857322548,2869.53625199122,2875.36717993186,2895.7639454082,2894.18651762659,2895.94811328057,2857.59410929739,2919.00628257283,2942.3136029175,2941.72717267253,2848.99703357174,2968.95420693348,2936.388619912,2964.71867862909,3068.95772302075,3016.74829552765,2941.30982693034
,29,2969.44238665392,2821.22219567144,2757.66212699277,2914.03300959543,2834.9881385139,2806.75596218197,2827.20014004735,2888.82401077878,2868.55640403898,2873.2604859194,2896.6560483868,2900.66715218278,2890.32411160521,2857.73918013933,2919.21104524075,2945.22777257142,2935.1166051788,2854.55019750115,2968.62909119437,2936.66074117303,2966.52320826804,3070.68617281932,3012.62770102038,2940.02309238959
,30,2986.18032811489,2818.52834640808,2767.15512816715,2914.38060072943,2834.84812426981,2806.3157489426,2832.88917134637,2888.93083171392,2874.92491408254,2872.21209962223,2899.36884220319,2897.75182364416,2894.49930611279,2853.88520209974,2922.36071049895,2945.20412020543,2935.76882784218,2864.09505438957,2966.37963829097,2935.00738236464,2966.89429447338,3071.58340111524,3011.59397277955,2938.6244539457
,31,2987.21680211984,2819.21401391402,2774.51597056645,2915.78271214514,2833.41722734907,2805.65191634315,2829.88161735713,2889.03970342973,2872.46680484583,2873.59707375663,2897.4222558982,2896.30738449352,2890.60232399677,2856.65993663335,2923.05316432663,2942.52023757262,2940.087484785,2864.82885150276,2971.40755344222,2935.53437513807,2968.50490383079,3068.92212403639,3018.4817372186,2942.35687790762
,32,2986.05080459858,2814.79268054239,2784.26207780421,2915.68475487643,2839.53431429681,2809.75487146319,2831.40136873105,2890.8055747063,2879.0617931593,2871.59527031518,2896.52658639171,2899.61040573053,2893.65224014767,2856.2614984729,2929.23844494667,2944.39974560323,2938.67905869445,2872.42070113789,2965.1124438257,2936.87290494787,2970.62236913676,3066.4147180305,3014.11067403821,2945.18072261807
,33,2979.72194768025,2818.63738233265,2791.16328250339,2912.68453341393,2837.60110185034,2809.34165291305,2827.64475618133,2889.00894577298,2889.00230129726,2876.91518664271,2896.95337423792,2903.46957744102,2894.92036788452,2853.40379737794,2926.3058995874,2944.76456458659,2939.19137084718,2891.21813025614,2965.91861302422,2936.02803988723,2975.29035457419,3070.75158042403,3010.98213235642,2950.09358870666
